baseItem,category,tier,cost,nMats,mat1,mat1count,mat2,mat2count,mat3,mat3count,mat4,mat4count,mat5,mat5count,mat6,mat6count
Doom's Blow,6,0,5600,2,Cockatrice Poison Gland,1,Strong Lizardscale Pelt,1,,,,,,,,
Doom's Blow,6,1,5600,3,Behemoth Fang,1,Silver Bristle,1,Large Scallop Shell,1,,,,,,
Doom's Blow,6,2,-1,0,,,,,,,,,,,,
Doom's Blow,6,3,-1,0,,,,,,,,,,,,
Tempest,6,0,10400,2,Giant Single Pelt,1,Cockatrice Gastrolith,1,,,,,,,,
Tempest,6,1,10400,2,Dark Metal,1,Magick Lion's Large Mane,1,,,,,,,,
Tempest,6,2,10400,2,Flame Crystal,1,Dragon Fang,1,,,,,,,,
Tempest,6,3,10400,2,Dragon Horn,1,Nightmare's Vocal Cords,1,,,,,,,,
Strike Rod,6,0,200,1,Copper Ore,1,,,,,,,,,,
Strike Rod,6,1,200,1,Small Fang,1,,,,,,,,,,
Strike Rod,6,2,200,1,Brown Wood,1,,,,,,,,,,
Strike Rod,6,3,200,1,Lead Ore,1,,,,,,,,,,
Power Beak,1,0,1600,1,Large Fang,1,,,,,,,,,,
Power Beak,1,1,1600,1,Marble,1,,,,,,,,,,
Power Beak,1,2,1600,2,Iron Ore,1,Goblin Horn,1,,,,,,,,
Power Beak,1,3,1600,2,Scroll of Power,1,Cedar Wood,1,,,,,,,,
Cathedral Fire,6,0,300,1,Dry Bone,1,,,,,,,,,,
Cathedral Fire,6,1,300,1,Harpy Pinion,1,,,,,,,,,,
Cathedral Fire,6,2,300,1,Quality Gala Mushroom,1,,,,,,,,,,
Cathedral Fire,6,3,300,1,Amethyst,1,,,,,,,,,,
Godblaze 7,6,0,-1,0,,,,,,,,,,,,
Godblaze 7,6,1,-1,0,,,,,,,,,,,,
Godblaze 7,6,2,-1,0,,,,,,,,,,,,
Godblaze 7,6,3,-1,0,,,,,,,,,,,,
Olfring Sword (Blue),1,0,2000,2,Iron Ore,1,Glowworm,2,,,,,,,,
Olfring Sword (Blue),1,1,2670,2,Dull Iron Ingot,2,Spinel,1,,,,,,,,
Olfring Sword (Blue),1,2,3340,2,Drilled Plate Sheet,1,Moonglow,1,,,,,,,,
Olfring Sword (Blue),1,3,4340,3,Jewel Steel Ingot,1,Sapphire,1,Superior Saurian Tail,1,,,,,,
Olfring Sword (Heaven),1,0,1200,2,Small Horn,1,Lead Ore,1,,,,,,,,
Olfring Sword (Heaven),1,1,3000,2,Purple Anise,1,Iron Ore,1,,,,,,,,
Olfring Sword (Heaven),1,2,9000,1,Scroll of Magickal Protection,1,,,,,,,,,,
Olfring Sword (Heaven),1,3,13000,2,Silver Ore,1,Scroll of Holy,1,,,,,,,,
Olfring Sword (Earth),1,0,2000,2,Iron Ore,1,Orc Tusk,1,,,,,,,,
Olfring Sword (Earth),1,1,2670,2,Dull Iron Ingot,2,Scroll of Power,1,,,,,,,,
Olfring Sword (Earth),1,2,3340,2,Drilled Plate Sheet,1,Black Tar,1,,,,,,,,
Olfring Sword (Earth),1,3,4340,3,Jewel Steel Ingot,1,Onyx,1,Strong Lizardscale Pelt,1,,,,,,
Olfring Sword (Black),1,0,240,2,Bronze Ore,1,Insect Venom,1,,,,,,,,
Olfring Sword (Black),1,1,340,2,Bronze Ore,1,Slime Liquid,1,,,,,,,,
Olfring Sword (Black),1,2,670,2,Copper Ore,1,Coarse Sand,1,,,,,,,,
Olfring Sword (Black),1,3,1000,2,Iron Ore Fragment,1,Undead Carrion,1,,,,,,,,
Dragon's Dogma,1,0,-1,0,,,,,,,,,,,,
Dragon's Dogma,1,1,3900,2,Iron Ore,1,Crooked Fang,1,,,,,,,,
Dragon's Dogma,1,2,6500,2,Silver Ore,1,Superior Saurian Tail,1,,,,,,,,
Dragon's Dogma,1,3,7800,3,Dragon Hide,1,Scroll of Great Strength,1,Dragonleather,1,,,,,,
Dragon's Toll,1,0,-1,0,,,,,,,,,,,,
Dragon's Toll,1,1,-1,0,,,,,,,,,,,,
Dragon's Toll,1,2,-1,0,,,,,,,,,,,,
Dragon's Toll,1,3,-1,0,,,,,,,,,,,,
Cross Rapier of Sparks,1,0,4000,2,Scroll of Holy,2,Mist Gem,2,,,,,,,,
Cross Rapier of Sparks,1,1,5000,2,Drilled Plate Sheet,2,Giant Bone,1,,,,,,,,
Cross Rapier of Sparks,1,2,6670,3,Silver Ore,2,Crooked Fang,1,Harpy Pinion,2,,,,,,
Cross Rapier of Sparks,1,3,8000,3,Silver Ingot,2,Ogre Claw,1,Blue Flower,2,,,,,,
Mark of the Wicked Morning Star,1,0,2600,2,Orc Tusk,1,Iron Ore,1,,,,,,,,
Mark of the Wicked Morning Star,1,1,4000,2,Large Beast-Steak,1,Moonglow,1,,,,,,,,
Mark of the Wicked Morning Star,1,2,5400,2,Large Fang,1,Jewel Steel Ingot,1,,,,,,,,
Mark of the Wicked Morning Star,1,3,6000,3,Broken Dagger,1,Silver Ingot,1,Scroll of Darkness,1,,,,,,
Sword of Nemesis,1,0,2000,2,Iron Ore Fragment,1,Orc Tusk,1,,,,,,,,
Sword of Nemesis,1,1,2670,2,Iron Ingot,1,Apophyllite,1,,,,,,,,
Sword of Nemesis,1,2,3340,2,Marble,2,Crooked Fang,1,,,,,,,,
Sword of Nemesis,1,3,4340,3,Hematite,2,Cyclops Tusk,1,Moonglow,1,,,,,,
Olfring Shell (Blue),2,0,1000,2,Iron Ore,1,Purple Anise,2,,,,,,,,
Olfring Shell (Blue),2,1,1170,2,Lizardscale Pelt,2,Peridot,1,,,,,,,,
Olfring Shell (Blue),2,2,1670,2,Rock Scale,1,Scroll of Protection,1,,,,,,,,
Olfring Shell (Blue),2,3,2340,3,Magick-Tinged Bone,1,Clear Spring Water,1,Scroll of Ice,1,,,,,,
Olfring Shell (Heaven),2,0,1200,2,Lead Ore,1,Lestania Herb,1,,,,,,,,
Olfring Shell (Heaven),2,1,3000,2,Iron Ore,1,Wild Herb,1,,,,,,,,
Olfring Shell (Heaven),2,2,8500,1,Scroll of Magickal Protection,1,,,,,,,,,,
Olfring Shell (Heaven),2,3,10000,2,Rosewood,1,Scroll of Holy,1,,,,,,,,
Olfring Shell (Earth),2,0,1000,2,Iron Ore,1,Lizardscale Pelt,1,,,,,,,,
Olfring Shell (Earth),2,1,1170,2,Ape Fur,1,Scroll of Protection,1,,,,,,,,
Olfring Shell (Earth),2,2,1670,2,Hematite,2,Strong Animal Leather,1,,,,,,,,
Olfring Shell (Earth),2,3,2340,3,Magick-Tinged Bone,1,Red Chromium,1,High Quality Wood,1,,,,,,
Olfring Shell (Black),2,0,170,2,Thin Wood,1,Lestania Herb,1,,,,,,,,
Olfring Shell (Black),2,1,340,2,Bronze Ore,1,Undead Carrion,1,,,,,,,,
Olfring Shell (Black),2,2,500,2,Copper Ore,1,Hard Wood,1,,,,,,,,
Olfring Shell (Black),2,3,840,2,Iron Ore Fragment,1,Brown Wood,2,,,,,,,,
Dragon's Shield,2,0,-1,0,,,,,,,,,,,,
Dragon's Shield,2,1,-1,0,,,,,,,,,,,,
Dragon's Shield,2,2,-1,0,,,,,,,,,,,,
Dragon's Shield,2,3,-1,0,,,,,,,,,,,,
Shield of Nemesis,2,0,1000,2,Iron Ore Fragment,1,Hard Wood,1,,,,,,,,
Shield of Nemesis,2,1,1170,2,Iron Ingot,1,Unrefined Demon Wine,1,,,,,,,,
Shield of Nemesis,2,2,1670,2,Marble,1,Scroll of Protection,1,,,,,,,,
Shield of Nemesis,2,3,2340,3,Hematite,1,Strong Animal Leather,1,Moonglow,1,,,,,,
Dragon's Dogma Giga,10,0,3900,2,Saurian Tail,1,Iron Ore Fragment,1,,,,,,,,
Dragon's Dogma Giga,10,1,6000,2,Hematite Sand,1,Yellow Thyme,1,,,,,,,,
Dragon's Dogma Giga,10,2,10000,2,Silver Ore,1,Strong Lizardscale Pelt,1,,,,,,,,
Dragon's Dogma Giga,10,3,12000,3,Dragon Hide,1,Scroll of Great Strength,1,Dragonleather,1,,,,,,
Dragon's Scale,5,0,2535,2,Brown Wood,1,Saurian Tail,1,,,,,,,,
Dragon's Scale,5,1,3900,2,Ent Leaf,1,Cedar Wood,1,,,,,,,,
Dragon's Scale,5,2,6500,2,Pine Lumber,1,Silver Ore,1,,,,,,,,
Dragon's Scale,5,3,7800,3,Dragonleather,1,Scroll of Defense,1,Dragon Hide,1,,,,,,
Gazing Glow of Sparks,5,0,4000,2,Scroll of Holy,2,Mysterious Gold Lump,2,,,,,,,,
Gazing Glow of Sparks,5,1,5000,2,Strong Lizardscale Pelt,2,Sapphire,1,,,,,,,,
Gazing Glow of Sparks,5,2,6670,3,Silver Ore,2,Crooked Fang,1,Magick-Tinged Bone,2,,,,,,
Gazing Glow of Sparks,5,3,8000,3,Silver Ingot,2,Large Metal Plate,1,White Wood,2,,,,,,
Mark of the Wicked Cursed Tomb,5,0,2600,2,Ape Pelt,1,Brown Wood,1,,,,,,,,
Mark of the Wicked Cursed Tomb,5,1,4000,2,Unrefined Demon Wine,1,Wild Herb,1,,,,,,,,
Mark of the Wicked Cursed Tomb,5,2,5400,2,Superior Saurian Tail,1,Jewel Steel Ingot,1,,,,,,,,
Mark of the Wicked Cursed Tomb,5,3,6000,3,Strong Acid Slime Piece,1,Bornite Ingot,1,Scroll of Darkness,1,,,,,,
Wall of Nemesis,5,0,2000,2,Iron Ore Fragment,1,Orc Tusk,1,,,,,,,,
Wall of Nemesis,5,1,2670,2,Iron Ingot,1,Fine Bleached Bone,1,,,,,,,,
Wall of Nemesis,5,2,3340,2,Marble,2,Scroll of Protection,1,,,,,,,,
Wall of Nemesis,5,3,4340,3,Hematite,2,Giant Bone,1,Moonglow,1,,,,,,
Dragon's Howl,6,0,-1,0,,,,,,,,,,,,
Dragon's Howl,6,1,-1,0,,,,,,,,,,,,
Dragon's Howl,6,2,-1,0,,,,,,,,,,,,
Dragon's Howl,6,3,-1,0,,,,,,,,,,,,
Rod of Nemesis,6,0,1000,2,Iron Ore Fragment,1,Goblin's Leaf,1,,,,,,,,
Rod of Nemesis,6,1,1170,2,Iron Ore,2,Mist Gem,1,,,,,,,,
Rod of Nemesis,6,2,1670,2,Marble,1,Clear Spring Water,2,,,,,,,,
Rod of Nemesis,6,3,2340,3,Hematite,1,Magick-Tinged Bone,1,Pine Lumber,1,,,,,,
Kris Naga Artery,7,0,-1,0,,,,,,,,,,,,
Kris Naga Artery,7,1,-1,0,,,,,,,,,,,,
Kris Naga Artery,7,2,-1,0,,,,,,,,,,,,
Kris Naga Artery,7,3,-1,0,,,,,,,,,,,,
Parrying Daggers of Sparks,7,0,6000,2,Scroll of Holy,2,Mist Gem,2,,,,,,,,
Parrying Daggers of Sparks,7,1,7500,2,Phantom Ore,2,Broken Dagger,1,,,,,,,,
Parrying Daggers of Sparks,7,2,10000,3,Silver Ore,3,Sharp Claw,1,Marbled Beast-Steak,1,,,,,,
Parrying Daggers of Sparks,7,3,12000,3,Silver Ingot,2,Magick Medal,1,White Shining Sand,1,,,,,,
Mark of the Wicked Supatoria,7,0,3900,2,Goblin Horn,1,Iron Ore,1,,,,,,,,
Mark of the Wicked Supatoria,7,1,6000,2,Ape Pelt,1,Moonlight Mushroom,1,,,,,,,,
Mark of the Wicked Supatoria,7,2,8100,2,Rock Scale,1,Jewel Steel Ingot,1,,,,,,,,
Mark of the Wicked Supatoria,7,3,9000,3,Broken Dagger,1,Silver Ingot,1,Scroll of Darkness,1,,,,,,
Dragon's Bow,3,0,-1,0,,,,,,,,,,,,
Dragon's Bow,3,1,-1,0,,,,,,,,,,,,
Dragon's Bow,3,2,-1,0,,,,,,,,,,,,
Dragon's Bow,3,3,-1,0,,,,,,,,,,,,
Flood Ray of Sparks,3,0,6000,2,Hematite,1,Mist Gem,2,,,,,,,,
Flood Ray of Sparks,3,1,7500,2,Drilled Plate Sheet,2,Giant Fur,1,,,,,,,,
Flood Ray of Sparks,3,2,10000,3,Phantom Ore,2,Broken Dagger,1,Ape Fur,1,,,,,,
Flood Ray of Sparks,3,3,12000,3,Demon Thread,1,White Wood,2,Sharp Claw,1,,,,,,
Mark of the Wicked Vine Stalk,3,0,3900,2,Harpy Pinion,1,Red Lumber,1,,,,,,,,
Mark of the Wicked Vine Stalk,3,1,6000,2,Goblin's Leaf,1,Cedar Wood,1,,,,,,,,
Mark of the Wicked Vine Stalk,3,2,8100,2,Harpy Flight Feather,1,Spun Yarn,1,,,,,,,,
Mark of the Wicked Vine Stalk,3,3,9000,3,Smooth Leather,1,Demon Thread,1,Scroll of Darkness,1,,,,,,
Bow of Nemesis,3,0,3000,2,Iron Ore Fragment,2,Orc Tusk,1,,,,,,,,
Bow of Nemesis,3,1,4000,2,Leather Cord,2,Scroll of Power,1,,,,,,,,
Bow of Nemesis,3,2,4500,2,Jewel Steel Ingot,1,Giant Fur,1,,,,,,,,
Bow of Nemesis,3,3,6500,3,High Quality Wood,1,Rock Scale,1,Ogre Fur,1,,,,,,
Dragon's Wing,11,0,700,2,Harpy Pinion,1,Burial Shroud,1,,,,,,,,
Dragon's Wing,11,1,2000,2,Peridot,1,Angelica,1,,,,,,,,
Dragon's Wing,11,2,5000,2,Magick-Tinged Bone,1,Crystal,1,,,,,,,,
Dragon's Wing,11,3,8000,2,Ruby,1,Lapis Lazuli,1,,,,,,,,
Dragon's Spell,9,0,99999,1,Hard Wood,2,,,,,,,,,,
Dragon's Spell,9,1,99999,1,Iron Ore Fragment,2,,,,,,,,,,
Dragon's Spell,9,2,99999,2,Pine Lumber,2,Hematite,2,,,,,,,,
Dragon's Spell,9,3,99999,3,Red Chromium,2,Dragonleather,2,Dragon Hide,2,,,,,,
Mark of the Wicked Blood Staff,9,0,3900,2,Ape Fur,1,Polishing Sand,1,,,,,,,,
Mark of the Wicked Blood Staff,9,1,6000,2,Strong Viscous Liquid,1,Iron Ore Fragment,1,,,,,,,,
Mark of the Wicked Blood Staff,9,2,8100,2,Strong Animal Leather,1,Spun Yarn,1,,,,,,,,
Mark of the Wicked Blood Staff,9,3,9000,3,Ancient Grimoire,1,Demon Thread,1,Scroll of Darkness,1,,,,,,
Dragon's Staff,4,0,-1,0,,,,,,,,,,,,
Dragon's Staff,4,1,-1,0,,,,,,,,,,,,
Dragon's Staff,4,2,-1,0,,,,,,,,,,,,
Dragon's Staff,4,3,-1,0,,,,,,,,,,,,
Azure Closer of Sparks,4,0,6000,2,Scroll of Holy,2,Pine Lumber,1,,,,,,,,
Azure Closer of Sparks,4,1,7500,2,Drilled Plate Sheet,2,White Wood,1,,,,,,,,
Azure Closer of Sparks,4,2,10000,3,Silver Ore,2,Magick-Tinged Bone,1,Healing Drop,1,,,,,,
Azure Closer of Sparks,4,3,12000,3,Silver Ingot,1,Ent Branch,1,King Bay Leaf,2,,,,,,
Mark of the Wicked Soul Rampage,4,0,3900,2,Fine Bleached Bone,1,Purple Anise,1,,,,,,,,
Mark of the Wicked Soul Rampage,4,1,6000,2,Magick-Tinged Bone,1,Red Lumber,1,,,,,,,,
Mark of the Wicked Soul Rampage,4,2,8100,2,Undead Extract,1,Bloodstained Red Cloth,1,,,,,,,,
Mark of the Wicked Soul Rampage,4,3,9000,3,Rock Scale,1,Scroll of Great Sorcery,1,Scroll of Darkness,1,,,,,,
Staff of Nemesis,4,0,3000,2,Hard Wood,1,Orc Tusk,1,,,,,,,,
Staff of Nemesis,4,1,4000,2,Amethyst,1,Scroll of Sorcery,1,,,,,,,,
Staff of Nemesis,4,2,4500,2,Marble,2,Goblin's Leaf,1,,,,,,,,
Staff of Nemesis,4,3,6500,3,Hematite,2,Giant Bone,1,Strong Viscous Liquid,1,,,,,,
Dragon's Wand,8,0,3900,2,Saurian Tail,1,Amethyst,1,,,,,,,,
Dragon's Wand,8,1,6000,2,Magick-Tinged Bone,1,Large Beast-Steak,1,,,,,,,,
Dragon's Wand,8,2,10000,2,Silver Ore,1,Sapphire,1,,,,,,,,
Dragon's Wand,8,3,12000,3,Dragon Hide,1,Scroll of Great Sorcery,1,Dragonleather,1,,,,,,
Twin Wisdom of Sparks,8,0,6000,2,Ancient Grimoire,1,Onyx,1,,,,,,,,
Twin Wisdom of Sparks,8,1,7500,2,Phantom Ore,2,White Wood,1,,,,,,,,
Twin Wisdom of Sparks,8,2,10000,3,Magick-Tinged Bone,1,Troll's Poisonous Moss,1,Magick Silt,1,,,,,,
Twin Wisdom of Sparks,8,3,12000,3,White Shining Sand,2,Sphinx Hair,1,Energy Liquid,1,,,,,,
Mark of the Wicked Leraje Cane,8,0,3900,2,Rotten Lump,1,Stagnant Shroom,1,,,,,,,,
Mark of the Wicked Leraje Cane,8,1,6000,2,Apophyllite,1,Hard Wood,1,,,,,,,,
Mark of the Wicked Leraje Cane,8,2,8100,2,Goblin Gunpowder,1,Drilled Plate Sheet,1,,,,,,,,
Mark of the Wicked Leraje Cane,8,3,9000,3,Magick Silt,1,Scroll of Great Sorcery,1,Scroll of Darkness,1,,,,,,
Iron Circlet,13,0,-1,0,,,,,,,,,,,,
Iron Circlet,13,1,-1,0,,,,,,,,,,,,
Iron Circlet,13,2,-1,0,,,,,,,,,,,,
Iron Circlet,13,3,-1,0,,,,,,,,,,,,
Archmage's Robe,14,0,-1,0,,,,,,,,,,,,
Archmage's Robe,14,1,-1,0,,,,,,,,,,,,
Archmage's Robe,14,2,-1,0,,,,,,,,,,,,
Archmage's Robe,14,3,-1,0,,,,,,,,,,,,
Enforcer's Sacred Armor (Crimson),14,0,1100,1,Hematite,1,,,,,,,,,,
Enforcer's Sacred Armor (Crimson),14,1,1700,1,Bloodstained Red Cloth,1,,,,,,,,,,
Enforcer's Sacred Armor (Crimson),14,2,4200,2,Fine Bleached Bone,1,Lava Rock,1,,,,,,,,
Enforcer's Sacred Armor (Crimson),14,3,7600,3,Sinister Carrion,1,Red Liquor,1,Red Alloy Ingot,1,,,,,,
Nemesis Armor,14,0,1870,2,Ape Fur,1,Iron Ore Fragment,1,,,,,,,,
Nemesis Armor,14,1,2500,2,Lizardscale Pelt,2,Drilled Ore,1,,,,,,,,
Nemesis Armor,14,2,3170,2,Leather Cloth,1,Onyx,1,,,,,,,,
Nemesis Armor,14,3,4170,3,Hard Leather Cloth,1,Hematite,1,Magick-Tinged Bone,1,,,,,,
Enforcer's Boots (Crimson),16,0,800,1,Hematite,1,,,,,,,,,,
Enforcer's Boots (Crimson),16,1,1200,1,Bloodstained Red Cloth,1,,,,,,,,,,
Enforcer's Boots (Crimson),16,2,3000,2,Fine Bleached Bone,1,Lava Rock,1,,,,,,,,
Enforcer's Boots (Crimson),16,3,5400,3,Sinister Carrion,1,Red Liquor,1,Red Alloy Ingot,1,,,,,,
Nemesis Boots,16,0,1720,2,Supple Fur,2,Iron Ore Fragment,1,,,,,,,,
Nemesis Boots,16,1,2050,2,Ape Pelt,1,Orc Tusk,1,,,,,,,,
Nemesis Boots,16,2,2400,2,Leather Cloth,1,Sapphire,1,,,,,,,,
Nemesis Boots,16,3,3570,3,Hard Leather Cloth,1,Rock Scale,1,Magick-Tinged Bone,1,,,,,,
Nemesis Legs,18,0,1200,2,Fine Bleached Bone,1,Glowworm,1,,,,,,,,
Nemesis Legs,18,1,1770,2,Leather Cloth,1,Hematite Sand,2,,,,,,,,
Nemesis Legs,18,2,2300,2,Ape Pelt,1,Apophyllite,1,,,,,,,,
Nemesis Legs,18,3,2770,2,Combat Fabric,1,Pyrite,1,,,,,,,,
Nemesis Wear,17,0,1340,2,Orc Tusk,1,Glowworm,1,,,,,,,,
Nemesis Wear,17,1,1940,2,Lizardscale Pelt,1,Scroll of Protection,1,,,,,,,,
Nemesis Wear,17,2,2570,2,Drilled Ore,2,Crystal,1,,,,,,,,
Nemesis Wear,17,3,3070,2,Combat Fabric,1,Pyrite,1,,,,,,,,
Gold Raptor,16,0,-1,0,,,,,,,,,,,,
Gold Raptor,16,1,-1,0,,,,,,,,,,,,
Gold Raptor,16,2,-1,0,,,,,,,,,,,,
Gold Raptor,16,3,-1,0,,,,,,,,,,,,
Olfring Cane (Red),4,0,1000,2,Copper Ore,1,Small Fang,1,,,,,,,,
Olfring Cane (Red),4,1,1800,2,Iron Ore,1,Polishing Sand,1,,,,,,,,
Olfring Cane (Red),4,2,-1,0,,,,,,,,,,,,
Olfring Cane (Red),4,3,5500,2,Scroll of Fire,1,Lava Rock,1,,,,,,,,
Olfring Cane (Green),4,0,1500,2,Thin Wood,1,Insect Venom,1,,,,,,,,
Olfring Cane (Green),4,1,2700,3,Ape Fur,1,Green Seed,1,Hard Wood,1,,,,,,
Olfring Cane (Green),4,2,5400,2,Strong Viscous Liquid,1,Iron Ingot,1,,,,,,,,
Olfring Cane (Green),4,3,9900,2,Rock Scale,1,Iron Thread,1,,,,,,,,
Olfring Cane (Blue),4,0,500,2,Thin Wood,1,Clear Water,1,,,,,,,,
Olfring Cane (Blue),4,1,1500,2,Bronze Ore,2,Small Fang,1,,,,,,,,
Olfring Cane (Blue),4,2,2500,2,Hard Wood,1,Dry Bone,1,,,,,,,,
Olfring Cane (Blue),4,3,3500,2,Spinel,1,Orc Tusk,1,,,,,,,,
Dragon's Head,10,0,-1,0,,,,,,,,,,,,
Dragon's Head,10,1,-1,0,,,,,,,,,,,,
Dragon's Head,10,2,-1,0,,,,,,,,,,,,
Dragon's Head,10,3,-1,0,,,,,,,,,,,,
Olfring Bow (Red),3,0,500,2,Animal Pelt,1,Spider Thread,1,,,,,,,,
Olfring Bow (Red),3,1,1500,2,Brown Wood,1,Wild Herb,1,,,,,,,,
Olfring Bow (Red),3,2,2500,2,Supple Fur,1,Goblin Horn,1,,,,,,,,
Olfring Bow (Red),3,3,3500,3,Iron Ore Fragment,1,Spinel,1,Clear Insect Wing,1,,,,,,
Olfring Bow (Green),3,0,-1,0,,,,,,,,,,,,
Olfring Bow (Green),3,1,-1,0,,,,,,,,,,,,
Olfring Bow (Green),3,2,-1,0,,,,,,,,,,,,
Olfring Bow (Green),3,3,-1,0,,,,,,,,,,,,
Olfring Bow (Blue),3,0,400,1,Thin Wood,1,,,,,,,,,,
Olfring Bow (Blue),3,1,500,1,Clear Insect Wing,1,,,,,,,,,,
Olfring Bow (Blue),3,2,1000,2,Brown Wood,1,Clear Water,1,,,,,,,,
Olfring Bow (Blue),3,3,1500,2,Small Fang,1,Saurian Tail,1,,,,,,,,
Olfring Bow (Heaven),3,0,900,2,Small Horn,1,Baby Herb,1,,,,,,,,
Olfring Bow (Heaven),3,1,1800,3,Quality Gala Mushroom,1,Brown Wood,1,Fine Bleached Bone,1,,,,,,
Olfring Bow (Heaven),3,2,2700,2,Ape Pelt,1,Dull Iron Ingot,1,,,,,,,,
Olfring Bow (Heaven),3,3,3900,2,Black Tar,1,Spun Yarn,1,,,,,,,,
Olfring Bow (Earth),3,0,99999,2,Coarse Sand,1,Linen,1,,,,,,,,
Olfring Bow (Earth),3,1,99999,2,Brown Wood,1,Hematite Sand,1,,,,,,,,
Olfring Bow (Earth),3,2,99999,2,Lizardscale Pelt,1,Clear Spring Water,1,,,,,,,,
Olfring Bow (Earth),3,3,99999,2,Harpy Pinion,1,Hard Wood,1,,,,,,,,
Olfring Bow (Black),3,0,400,1,Thin Wood,1,,,,,,,,,,
Olfring Bow (Black),3,1,500,1,Small Fang,1,,,,,,,,,,
Olfring Bow (Black),3,2,1000,2,Brown Wood,1,Animal Pelt,1,,,,,,,,
Olfring Bow (Black),3,3,1500,2,Iron Ore Fragment,1,Wild Herb,1,,,,,,,,
Olfring Guard (Red),5,0,2670,2,Hematite Sand,1,Red Lumber,2,,,,,,,,
Olfring Guard (Red),5,1,3000,2,Strong Animal Leather,1,Garnet,1,,,,,,,,
Olfring Guard (Red),5,2,4340,2,Strong Lizardscale Pelt,1,Red Sage,1,,,,,,,,
Olfring Guard (Red),5,3,6000,3,Hematite,1,Agate,1,Scroll of Fire,1,,,,,,
Olfring Guard (Green),5,0,700,2,Saurian Tail,1,Burial Shroud,1,,,,,,,,
Olfring Guard (Green),5,1,2000,2,Hematite Sand,1,Peridot,1,,,,,,,,
Olfring Guard (Green),5,2,5000,2,Cedar Wood,1,Combat Fabric,1,,,,,,,,
Olfring Guard (Green),5,3,8000,2,Rosewood,1,Protective Cloth,1,,,,,,,,
Olfring Guard (Blue),5,0,340,2,Coarse Sand,1,Clear Water,1,,,,,,,,
Olfring Guard (Blue),5,1,1000,2,Dry Bone,1,Fluorite,1,,,,,,,,
Olfring Guard (Blue),5,2,1670,2,Lizardscale Pelt,1,Stagnant Shroom,1,,,,,,,,
Olfring Guard (Blue),5,3,2340,2,Iron Ore Fragment,1,Peridot,1,,,,,,,,
Olfring Guard (Earth),5,0,240,1,Bronze Ore,1,,,,,,,,,,
Olfring Guard (Earth),5,1,340,1,Small Fang,1,,,,,,,,,,
Olfring Guard (Earth),5,2,670,2,Brown Wood,1,Coarse Sand,1,,,,,,,,
Olfring Guard (Earth),5,3,1000,2,Lizardscale Pelt,1,Fluorite,1,,,,,,,,
Olfring Rod (Red),6,0,1340,2,Hematite Sand,1,Red Lumber,1,,,,,,,,
Olfring Rod (Red),6,1,1670,2,Garnet,1,Red Liquor,1,,,,,,,,
Olfring Rod (Red),6,2,2340,2,Hematite,1,Goblin Gunpowder,1,,,,,,,,
Olfring Rod (Red),6,3,2670,3,Hematite,1,Strong Lizardscale Pelt,1,Healing Drop,1,,,,,,
Olfring Rod (Green),6,0,700,1,Linen,1,,,,,,,,,,
Olfring Rod (Green),6,1,2000,1,Spinel,1,,,,,,,,,,
Olfring Rod (Green),6,2,5000,1,Crystal,1,,,,,,,,,,
Olfring Rod (Green),6,3,8000,2,Ruby,1,Strong Thread,1,,,,,,,,
Olfring Rod (Blue),6,0,340,2,Coarse Sand,1,Lestania Herb,1,,,,,,,,
Olfring Rod (Blue),6,1,500,2,Fluorite,1,Quality Gala Mushroom,1,,,,,,,,
Olfring Rod (Blue),6,2,1000,2,Iron Ore Fragment,1,Hard Wood,1,,,,,,,,
Olfring Rod (Blue),6,3,1170,2,Iron Ore Fragment,1,White Seashell,1,,,,,,,,
Olfring Rod (Earth),6,0,170,1,Bronze Ore,1,,,,,,,,,,
Olfring Rod (Earth),6,1,340,1,Animal Bone,1,,,,,,,,,,
Olfring Rod (Earth),6,2,500,2,Filament,1,Coarse Sand,1,,,,,,,,
Olfring Rod (Earth),6,3,840,2,Copper Ore,1,Clear Water,1,,,,,,,,
Rathalos Helm,13,0,2000,1,Authentication Orb (Rathalos),5,,,,,,,,,,
Rathalos Helm,13,1,4000,1,Authentication Orb (Rathalos),10,,,,,,,,,,
Rathalos Helm,13,2,5600,1,Authentication Orb (Rathalos),20,,,,,,,,,,
Rathalos Helm,13,3,7300,1,Authentication Orb (Rathalos),50,,,,,,,,,,
Rathian Helm,13,0,2000,1,Authentication Orb (Rathian),5,,,,,,,,,,
Rathian Helm,13,1,4000,1,Authentication Orb (Rathian),10,,,,,,,,,,
Rathian Helm,13,2,5600,1,Authentication Orb (Rathian),20,,,,,,,,,,
Rathian Helm,13,3,7300,1,Authentication Orb (Rathian),50,,,,,,,,,,
Silver Sol Helm,13,0,5800,1,Silver Authentication Orb,10,,,,,,,,,,
Silver Sol Helm,13,1,7400,1,Silver Authentication Orb,20,,,,,,,,,,
Silver Sol Helm,13,2,9000,1,Silver Authentication Orb,30,,,,,,,,,,
Silver Sol Helm,13,3,10545,1,Silver Authentication Orb,40,,,,,,,,,,
Gold Luna Helm,13,0,5800,1,Gold Authentication Orb,10,,,,,,,,,,
Gold Luna Helm,13,1,7400,1,Gold Authentication Orb,20,,,,,,,,,,
Gold Luna Helm,13,2,9000,1,Gold Authentication Orb,30,,,,,,,,,,
Gold Luna Helm,13,3,10545,1,Gold Authentication Orb,40,,,,,,,,,,
